date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:55:25	19398/19398	---M--	200	added ('OK')	image/svg+xml	etag:%224bc6-588f7173de5fb%22	https://emedia.rmit.edu.au/CHC33015/wp-content/uploads/2019/05/by-nc-nd.svg	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/uploads/2019/05/by-nc-nd.svg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/using-ethics-of-care-as-a-service-worker)
07:55:25	6532/6532	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221984-5749b5a1ab6de%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.eot?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:55:26	15728/15728	---MC-	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202020%2020:55:26%20GMT	https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/using-ethics-of-care-as-a-service-worker/using-ethics-of-care-in-your-role-as-service-worker-ethics-of-care	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/indexbbaa.html	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/using-ethics-of-care-as-a-service-worker)
07:55:26	6384/6384	---M--	200	added ('OK')	application/font-sfnt	etag:%2218f0-5749b5a1ace4e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.ttf?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.ttf	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:55:26	6460/6460	---M--	200	added ('OK')	application/font-woff	etag:%22193c-5749b5a1ad236%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.woff?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:55:26	23295/23295	---M--	200	added ('OK')	image/svg+xml	etag:%225aff-5749b5a1ace4e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.svg?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:55:26	1737/1737	---M--	200	added ('OK')	image/gif	etag:%226c9-5749b5a1ada06%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/images/throbber.gif?ver=1.2.1	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/images/throbber1576.gif	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:55:27	10824/10824	---M--	200	added ('OK')	text/html	etag:%222a48-589d867a6444e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTStd-Cn18.woff2	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTStd-Cn18.html	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:27	14916/14916	---M--	200	added ('OK')	application/font-woff	etag:%223a44-589d867a6444e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTStd-Cn18.woff	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTStd-Cn18.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
07:55:27	15364/15364	---M--	200	added ('OK')	text/html	etag:%223c04-589d867a6444e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTPro-BdCn20.woff2	C:/xampp/htdocs/wtif-fssi/eoc-eocsw/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/fonts/TradeGothicLTPro-BdCn20.html	(from https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css)
